num_trabajador,nombre_horario,descripcion_horario,lunes_entrada_1,lunes_salida_1,lunes_entrada_2,lunes_salida_2,martes_entrada_1,martes_salida_1,martes_entrada_2,martes_salida_2,miercoles_entrada_1,miercoles_salida_1,miercoles_entrada_2,miercoles_salida_2,jueves_entrada_1,jueves_salida_1,jueves_entrada_2,jueves_salida_2,viernes_entrada_1,viernes_salida_1,viernes_entrada_2,viernes_salida_2,sabado_entrada_1,sabado_salida_1,sabado_entrada_2,sabado_salida_2,domingo_entrada_1,domingo_salida_1,domingo_entrada_2,domingo_salida_2,fecha_inicio_asignacion,fecha_fin_asignacion,semestre
345,LMXJV 11-19,Lunes a Viernes 11:00-19:00,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
370,LMXJV 09-17,Lunes a Viernes 09:00-17:00,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
393,LMX 07-11 | JV 07-10,"Lunes a Miércoles 07:00-11:00, Jueves a Viernes 07:00-10:00",7:00,11:00,,,7:00,11:00,,,7:00,11:00,,,7:00,10:00,,,7:00,10:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
406,L 12-20 | MXJ 13-20 | V 12-19,"Lunes 12:00-20:00, Martes a Jueves 13:00-20:00, Viernes 12:00-19:00",12:00,20:00,,,13:00,20:00,,,13:00,20:00,,,13:00,20:00,,,12:00,19:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
5,LMXJV 10-18,Lunes a Viernes 10:00-18:00,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
24,L 12-14 | MJ 11-14 | X 11-13,"Lunes 12:00-14:00, Martes y Jueves 11:00-14:00, Miércoles 11:00-13:00",12:00,14:00,,,11:00,14:00,,,11:00,13:00,,,11:00,14:00,,,,,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
26,L 12-13 y 14-15 | MXJV 13-17,"Lunes 12:00-13:00 y 14:00-15:00, Martes a Viernes 13:00-17:00",12:00,13:00,14:00,15:00,13:00,17:00,,,13:00,17:00,,,13:00,17:00,,,13:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
35,LMXJV 10-14,Lunes a Viernes 10:00-14:00,10:00,14:00,,,10:00,14:00,,,10:00,14:00,,,10:00,14:00,,,10:00,14:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
61,LMX 09-15 | JV 09-14,"Lunes a Miércoles 09:00-15:00, Jueves a Viernes 09:00-14:00",9:00,15:00,,,9:00,15:00,,,9:00,15:00,,,9:00,14:00,,,9:00,14:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
71,L 09-14 | MJ 09-13 | XV 09-12,"Lunes 09:00-14:00, Martes y Jueves 09:00-13:00, Miércoles y Viernes 09:00-12:00",9:00,14:00,,,9:00,13:00,,,9:00,12:00,,,9:00,13:00,,,9:00,12:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
82,LMJV 08-12 | X 10-12,"Lunes, Martes, Jueves y Viernes 08:00-12:00, Miércoles 10:00-12:00",8:00,12:00,,,8:00,12:00,,,10:00,12:00,,,8:00,12:00,,,8:00,12:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
93,L 14-17 | M 16-18 | XJ 13-18 | V 13-17,"Lunes 14:00-17:00, Martes 16:00-18:00, Miércoles a Jueves 13:00-18:00, Viernes 13:00-17:00",14:00,17:00,,,16:00,18:00,,,13:00,18:00,,,13:00,18:00,,,13:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
101,LMXJV 10-18,Lunes a Viernes 10:00-18:00,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
108,LMXJV 07-15,Lunes a Viernes 07:00-15:00,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
111,LMXJV 10-18,Lunes a Viernes 10:00-18:00,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
114,L 15-18 | MXJV 14-18,"Lunes 15:00-18:00, Martes a Viernes 14:00-18:00",15:00,18:00,,,14:00,18:00,,,14:00,18:00,,,14:00,18:00,,,14:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
133,LMXJV 08-16,Lunes a Viernes 08:00-16:00,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
167,L 11-15 | MXJV 14-15,"Lunes 11:00-15:00, Martes a Viernes 14:00-15:00",11:00,15:00,,,14:00,15:00,,,14:00,15:00,,,14:00,15:00,,,14:00,15:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
177,LMXJV 08-16,Lunes a Viernes 08:00-16:00,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
184,LMXJV 13-19,Lunes a Viernes 13:00-19:00,13:00,19:00,,,13:00,19:00,,,13:00,19:00,,,13:00,19:00,,,13:00,19:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
192,LMXJV 08-16,Lunes a Viernes 08:00-16:00,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,8:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
203,LMXJV 07-15,Lunes a Viernes 07:00-15:00,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,7:00,15:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
223,LMXJV 10-18,Lunes a Viernes 10:00-18:00,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
229,L 14-19 | MV 14-18 | XJ 14-17,"Lunes 14:00-19:00, Martes y Viernes 14:00-18:00, Miércoles a Jueves 14:00-17:00",14:00,19:00,,,14:00,18:00,,,14:00,17:00,,,14:00,17:00,,,14:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
